SWEDEN,62,15
SINGAPORE,1.3667,103.8
SLOVENIA,46,15
SVALBARD AND JAN MAYEN,78,20
SLOVAKIA,48.6667,19.5
SIERRA LEONE,8.5,-11.5
SAN MARINO,43.7667,12.4167
SENEGAL,14,-14
SOMALIA,10,49
SURINAME,4,-56
SAO TOME AND PRINCIPE,1,7
SYRIA,35,38
SWAZILAND,-26.5,31.5
TURKS AND CAICOS ISLANDS,21.75,-71.5833
CHAD,15,19
TOGO,8,1.1667
THAILAND,15,100
TAJIKISTAN,39,71
TOKELAU,-9,-172
TURKMENISTAN,40,60
TUNISIA,34,9
TONGA,-20,-175
TURKEY,39,35
TRINIDAD AND TOBAGO,11,-61
TUVALU,-8,178
TAIWAN,23.5,121
TANZANIA,-6,35
UKRAINE,49,32
UGANDA,1,32
UNITED STATES MINOR OUTLYING ISLANDS,19.2833,166.6
UNITED STATES,38,-97
URUGUAY,-33,-56
UZBEKISTAN,41,64
VATICAN,41.9,12.45
SAINT VINCENT AND THE GRENADINES,13.25,-61.2
VENEZUELA,8,-66
BRITISH VIRGIN ISLANDS,18.5,-64.5
VIRGIN ISLANDS US,18.3333,-64.8333
VIETNAM,16,106
VANUATU,-16,167
WALLIS AND FUTUNA,-13.3,-176.2
SAMOA,-13.5833,-172.3333
YEMEN,15,48
MAYOTTE,-12.8333,45.1667
SOUTH AFRICA,-29,24
ZAMBIA,-15,30
ZIMBABWE,-20,30
STATELESS,0,0
VARIOUS,0,0
UNITED ARAB EMIRATES, 23.7, 54
EL SALVADOR, 13.6, 88.8
EAST TIMOR, -8.5, 125.5
CURACAO, 12.18, -69
TIBET, 31.7, 86.94
